ParkName,Year,RecreationVisits,VisitorSpending,JobsSupported,LaborIncome,ValueAdded,EconomicOutput
Fredericksburg & Spotsylvania NMP,2024,818533.0,57599000.0,536.0,27624000.0,50186000.0,78141000.0
Friendship Hill NHS,2024,19465.0,1370000.0,15.0,678000.0,1168000.0,1969000.0
Gates of the Arctic NP & PRES,2024,11907.0,23177000.0,217.0,11270000.0,20368000.0,33207000.0
Gateway Arch NP,2024,2563052.0,184599000.0,2157.0,104231000.0,179764000.0,300650000.0
Gateway NRA,2024,8929035.0,294757000.0,2343.0,113514000.0,205058000.0,328966000.0
Gauley River NRA,2024,272898.0,13946000.0,134.0,4842000.0,8756000.0,15196000.0
General Grant NMEM,2024,110602.0,4935000.0,42.0,2763000.0,4793000.0,6842000.0
George Rogers Clark NHP,2024,166621.0,11725000.0,122.0,4256000.0,8203000.0,14479000.0
George Washington Birthplace NM,2024,58983.0,3256000.0,29.0,1510000.0,2739000.0,4263000.0
George Washington Carver NM,2024,39081.0,847000.0,8.0,324000.0,568000.0,1016000.0
George Washington MEM PKWY,2024,6782717.0,225708000.0,2072.0,118337000.0,209945000.0,323403000.0
Gettysburg NMP,2024,741574.0,57506000.0,518.0,28188000.0,50234000.0,77894000.0
Gila Cliff Dwellings NM,2024,47378.0,3334000.0,32.0,1043000.0,1934000.0,3460000.0
Glacier Bay NP & PRES,2024,736282.0,333265000.0,3088.0,166755000.0,302943000.0,521384000.0
Glacier NP,2024,3208755.0,457955000.0,5188.0,217176000.0,359081000.0,656188000.0
Glen Canyon NRA,2024,4725610.0,516822000.0,4830.0,213131000.0,381809000.0,634245000.0
Golden Gate NRA,2024,17187508.0,1769628000.0,11815.0,969712000.0,1578986000.0,2235430000.0
Golden Spike NHP,2024,55285.0,3780000.0,39.0,1690000.0,3127000.0,5294000.0
Governors Island NM,2024,63086.0,4439000.0,38.0,2474000.0,4285000.0,6309000.0
Grand Canyon NP,2024,4919163.0,905346000.0,8778.0,393248000.0,697736000.0,1143263000.0
Grand Portage NM,2024,88931.0,6896000.0,59.0,2104000.0,3960000.0,6728000.0
Grand Teton NP,2024,3628222.0,807563000.0,6861.0,329149000.0,593456000.0,983519000.0
Grant-Kohrs Ranch NHS,2024,27479.0,720000.0,8.0,322000.0,523000.0,950000.0
Great Basin NP,2024,152068.0,16742000.0,146.0,7607000.0,14022000.0,22709000.0
Great Sand Dunes NP & PRES,2024,437661.0,29547000.0,261.0,8525000.0,17025000.0,30898000.0
Great Smoky Mountains NP,2024,12191834.0,2041287000.0,20349.0,1015336000.0,1779662000.0,2857978000.0
Greenbelt Park,2024,77642.0,1026000.0,8.0,414000.0,701000.0,1101000.0
Guadalupe Mountains NP,2024,226134.0,28092000.0,245.0,9687000.0,18483000.0,32339000.0
Guilford Courthouse NMP,2024,461143.0,32449000.0,356.0,15585000.0,27024000.0,45976000.0
Gulf Islands NS,2024,7801176.0,410967000.0,4018.0,164262000.0,302513000.0,514233000.0
Hagerman Fossil Beds NM,2024,39104.0,2752000.0,28.0,1239000.0,2206000.0,3726000.0
Haleakala NP,2024,732477.0,56001000.0,439.0,23729000.0,46922000.0,70168000.0
Hamilton Grange NMEM,2024,63647.0,4479000.0,38.0,2492000.0,4327000.0,6366000.0
Hampton NHS,2024,12260.0,862000.0,8.0,436000.0,777000.0,1204000.0
Harpers Ferry NHP,2024,488049.0,29193000.0,294.0,15405000.0,27562000.0,43207000.0
Harriet Tubman Underground Railroad NHP,2024,17946.0,1263000.0,12.0,473000.0,889000.0,1468000.0
Harry S Truman NHS,2024,24102.0,1696000.0,19.0,849000.0,1490000.0,2534000.0
Hawaii Volcanoes NP,2024,1433593.0,445429000.0,3605.0,187562000.0,379589000.0,570869000.0
Herbert Hoover NHS,2024,148031.0,10417000.0,110.0,4079000.0,7605000.0,13286000.0
Home of Franklin D. Roosevelt NHS,2024,123848.0,8715000.0,78.0,4247000.0,7474000.0,11597000.0
Homestead NHP,2024,52330.0,2050000.0,20.0,717000.0,1297000.0,2322000.0
Hopewell Culture NHP,2024,65350.0,4599000.0,50.0,2213000.0,3890000.0,6564000.0
Hopewell Furnace NHS,2024,48776.0,3432000.0,36.0,1832000.0,3108000.0,5043000.0
Horseshoe Bend NMP,2024,64063.0,4509000.0,51.0,1853000.0,3385000.0,6011000.0
Hot Springs NP,2024,2461812.0,189775000.0,2125.0,72527000.0,141290000.0,253410000.0
Hovenweep NM,2024,31471.0,2367000.0,22.0,838000.0,1613000.0,2792000.0
Hubbell Trading Post NHS,2024,46419.0,3266000.0,34.0,1083000.0,2057000.0,3758000.0
Ice Age NST,2024,29711.0,2091000.0,22.0,934000.0,1655000.0,2778000.0
Independence NHP,2024,2798651.0,196937000.0,2048.0,107032000.0,181332000.0,291254000.0
Indiana Dunes NP,2024,2705209.0,142760000.0,1228.0,67877000.0,124668000.0,192936000.0
Isle Royale NP,2024,28806.0,11950000.0,95.0,3759000.0,7242000.0,14175000.0
James A. Garfield NHS,2024,39671.0,1714000.0,20.0,828000.0,1456000.0,2492000.0
Jean Lafitte NHP & PRES,2024,212591.0,14960000.0,161.0,6149000.0,11540000.0,19942000.0
Jewel Cave NM,2024,145332.0,10227000.0,105.0,3937000.0,7475000.0,13021000.0
Jimmy Carter NHP,2024,33031.0,2324000.0,27.0,810000.0,1542000.0,2898000.0
"John D. Rockefeller, Jr. MEM PKWY",2024,1459804.0,11317000.0,90.0,5003000.0,8139000.0,12699000.0
John Day Fossil Beds NM,2024,122529.0,9542000.0,94.0,4257000.0,7456000.0,12588000.0
John F. Kennedy NHS,2024,18180.0,1279000.0,12.0,718000.0,1206000.0,1871000.0
John Muir NHS,2024,45753.0,3219000.0,27.0,1741000.0,2931000.0,4361000.0
Johnstown Flood NMEM,2024,95842.0,7175000.0,81.0,3617000.0,6175000.0,10434000.0
Joshua Tree NP,2024,2991874.0,179292000.0,1633.0,73560000.0,130440000.0,214109000.0
Kalaupapa NHP,2024,30774.0,2165000.0,18.0,949000.0,1836000.0,2771000.0
Kaloko Honokohau NHP,2024,351422.0,24729000.0,204.0,10840000.0,20966000.0,31648000.0
Katahdin Woods and Waters NM,2024,35173.0,2702000.0,26.0,1064000.0,2048000.0,3440000.0
Katmai NP & PRES,2024,36230.0,70525000.0,659.0,34294000.0,61978000.0,101043000.0
Kenai Fjords NP,2024,419468.0,92753000.0,1187.0,49649000.0,77447000.0,131149000.0
Kennesaw Mountain NBP,2024,1495856.0,105262000.0,1155.0,53913000.0,97010000.0,159134000.0
Keweenaw NHP,2024,31191.0,2195000.0,23.0,674000.0,1324000.0,2436000.0
Kings Canyon NP,2024,699389.0,72735000.0,729.0,30973000.0,53557000.0,90685000.0
Kings Mountain NMP,2024,182463.0,8742000.0,93.0,4054000.0,7222000.0,12227000.0
Klondike Gold Rush NHP Alaska,2024,1336008.0,219983000.0,2342.0,110668000.0,161980000.0,265262000.0
Klondike Gold Rush NHP Seattle,2024,81652.0,5746000.0,44.0,2580000.0,5156000.0,7559000.0
Knife River Indian Villages NHS,2024,10867.0,765000.0,8.0,304000.0,536000.0,977000.0
Kobuk Valley NP,2024,17233.0,33545000.0,314.0,16312000.0,29480000.0,48061000.0
Korean War Veterans MEM,2024,4344305.0,126850000.0,1183.0,70590000.0,124172000.0,184634000.0
LBJ Memorial Grove on the Potomac,2024,241358.0,16984000.0,158.0,8430000.0,15273000.0,23639000.0
Lake Chelan NRA,2024,30815.0,2442000.0,17.0,1042000.0,2134000.0,3061000.0
Lake Clark NP & PRES,2024,18505.0,36022000.0,337.0,17516000.0,31656000.0,51610000.0
Lake Mead NRA,2024,6412854.0,408444000.0,3661.0,192320000.0,347686000.0,553411000.0
Lake Meredith NRA,2024,1212905.0,30223000.0,160.0,6184000.0,11338000.0,19077000.0
Lake Roosevelt NRA,2024,1091489.0,57831000.0,462.0,19761000.0,42595000.0,67205000.0
Lassen Volcanic NP,2024,357651.0,34895000.0,320.0,13748000.0,23996000.0,40687000.0
Lava Beds NM,2024,127563.0,6465000.0,57.0,2353000.0,4135000.0,7082000.0
Lewis & Clark NHP,2024,267118.0,18797000.0,176.0,8725000.0,16252000.0,25791000.0
Lincoln Boyhood NMEM,2024,129904.0,7459000.0,84.0,3305000.0,5994000.0,10148000.0
Lincoln Home NHS,2024,154522.0,11302000.0,110.0,4023000.0,8354000.0,13903000.0
Lincoln MEM,2024,8479349.0,194009000.0,1829.0,99224000.0,180994000.0,277872000.0
Little Bighorn Battlefield NM,2024,111825.0,7869000.0,91.0,3354000.0,5659000.0,10448000.0
Little River Canyon NPRES,2024,763209.0,53705000.0,581.0,21948000.0,40437000.0,70188000.0
Little Rock Central High School NHS,2024,63767.0,4487000.0,53.0,1793000.0,3435000.0,6196000.0
Longfellow House Washington's HQ NHS,2024,51496.0,3624000.0,35.0,2046000.0,3428000.0,5312000.0
Lowell NHP,2024,264456.0,18609000.0,178.0,10453000.0,17549000.0,27191000.0
Lyndon B. Johnson NHP,2024,119278.0,13497000.0,147.0,7143000.0,12930000.0,21625000.0
Maggie L. Walker NHS,2024,6310.0,444000.0,5.0,189000.0,354000.0,598000.0
Mammoth Cave NP,2024,747042.0,73238000.0,883.0,31099000.0,53157000.0,97268000.0
Manassas NBP,2024,541965.0,38137000.0,352.0,18835000.0,34166000.0,52773000.0
Manhattan Project NHP,2024,74693.0,5335000.0,49.0,2276000.0,4152000.0,6713000.0
Manzanar NHS,2024,93854.0,11794000.0,108.0,4652000.0,8246000.0,13632000.0
Marsh-Billings-Rockefeller NHP,2024,81713.0,5749000.0,51.0,2498000.0,4654000.0,7317000.0
"Martin Luther King, Jr. MEM",2024,3251594.0,74397000.0,701.0,38050000.0,69406000.0,106556000.0
"Martin Luther King, Jr. NHP",2024,1159438.0,81588000.0,895.0,41887000.0,75434000.0,123586000.0
Martin Van Buren NHS,2024,17712.0,870000.0,8.0,354000.0,660000.0,1063000.0
Mary McLeod Bethune Council House NHS,2024,3338.0,257000.0,2.0,138000.0,246000.0,367000.0
Medgar and Myrlie Evers Home NM,2024,71554.0,5035000.0,57.0,2093000.0,3892000.0,6898000.0
Mesa Verde NP,2024,480065.0,60171000.0,572.0,22253000.0,43001000.0,73506000.0
Mill Springs Battlefield NM,2024,8579.0,604000.0,7.0,211000.0,375000.0,701000.0
Minidoka NHS,2024,22025.0,1076000.0,9.0,352000.0,751000.0,1211000.0
Minute Man NHP,2024,879316.0,61876000.0,593.0,34894000.0,58559000.0,90776000.0
Minuteman Missile NHS,2024,118108.0,10519000.0,105.0,4000000.0,7662000.0,13189000.0
Mississippi NRRA,2024,256133.0,13539000.0,135.0,6425000.0,11386000.0,18913000.0
Missouri NRR,2024,153521.0,8115000.0,78.0,3186000.0,5666000.0,9712000.0
Mojave NPRES,2024,424864.0,29829000.0,270.0,13538000.0,24378000.0,38285000.0
Monocacy NB,2024,116520.0,4987000.0,46.0,1904000.0,3483000.0,5801000.0
Montezuma Castle NM,2024,379967.0,26738000.0,272.0,13525000.0,24093000.0,38983000.0
Moores Creek NB,2024,69079.0,5358000.0,55.0,1970000.0,3743000.0,6611000.0
Morristown NHP,2024,208138.0,4654000.0,31.0,2237000.0,3748000.0,5420000.0
Mount Rainier NP,2024,1620006.0,72212000.0,522.0,30785000.0,61567000.0,90953000.0
Mount Rushmore NMEM,2024,1850329.0,303904000.0,3081.0,128538000.0,238673000.0,402336000.0
Muir Woods NM,2024,792494.0,111635000.0,744.0,63902000.0,105168000.0,145801000.0
Natchez NHP,2024,21520.0,1514000.0,16.0,560000.0,1059000.0,1878000.0
Natchez Trace PKWY,2024,7364833.0,553964000.0,4487.0,243180000.0,447061000.0,696194000.0
National Capital Parks Central,2024,1034341.0,103847000.0,971.0,57829000.0,101621000.0,151173000.0
National Capital Parks East,2024,1271126.0,37053000.0,332.0,18965000.0,33179000.0,50993000.0
National Park of American Samoa,2024,22567.0,1588000.0,13.0,696000.0,1346000.0,2032000.0
Natural Bridges NM,2024,75680.0,5527000.0,49.0,2019000.0,3723000.0,6219000.0
Navajo NM,2024,58442.0,4408000.0,40.0,1639000.0,2983000.0,5008000.0
New Bedford Whaling NHP,2024,18330.0,1193000.0,12.0,695000.0,1158000.0,1794000.0
New Orleans Jazz NHP,2024,44943.0,3163000.0,34.0,1356000.0,2513000.0,4282000.0
New River Gorge NP & PRES,2024,1811937.0,95496000.0,948.0,33781000.0,62907000.0,109859000.0
Nez Perce NHP,2024,342924.0,24131000.0,215.0,8931000.0,18538000.0,29678000.0
Nicodemus NHS,2024,7535.0,499000.0,5.0,157000.0,285000.0,523000.0
Ninety Six NHS,2024,101352.0,7132000.0,77.0,2832000.0,5404000.0,9360000.0
Niobrara NSR,2024,74387.0,7727000.0,87.0,2394000.0,4428000.0,9023000.0
Noatak NPRES,2024,18311.0,35643000.0,333.0,17332000.0,31324000.0,51067000.0
North Cascades NP,2024,16485.0,950000.0,6.0,378000.0,759000.0,1096000.0
Obed W&SR,2024,261732.0,5548000.0,42.0,1875000.0,3262000.0,5554000.0
Ocmulgee Mounds NHP,2024,141905.0,9985000.0,114.0,3446000.0,6529000.0,12107000.0
Olympic NP,2024,3717267.0,380177000.0,2881.0,176052000.0,352978000.0,515816000.0
Oregon Caves NM & PRES,2024,94016.0,9521000.0,98.0,4093000.0,7138000.0,12364000.0
Organ Pipe Cactus NM,2024,182612.0,23354000.0,215.0,11143000.0,19760000.0,32618000.0
Ozark NSR,2024,1343779.0,70273000.0,724.0,23044000.0,42003000.0,78451000.0
Padre Island NS,2024,514722.0,47540000.0,484.0,18157000.0,33979000.0,58623000.0
Palo Alto Battlefield NHP,2024,178946.0,12592000.0,145.0,4566000.0,8512000.0,15908000.0
Paterson Great Falls NHP,2024,210741.0,14829000.0,138.0,7362000.0,12298000.0,19450000.0
Pea Ridge NMP,2024,102621.0,7222000.0,80.0,3110000.0,5541000.0,9808000.0
Pearl Harbor NMEM,2024,1588798.0,348648000.0,2897.0,165606000.0,338468000.0,501652000.0
Pecos NHP,2024,46726.0,3287000.0,34.0,1383000.0,2501000.0,4275000.0
Pennsylvania Avenue NHS,2024,141840.0,3245000.0,31.0,1660000.0,3028000.0,4648000.0
Perry's Victory & Intl. Peace MEM,2024,91302.0,10011000.0,120.0,5537000.0,9604000.0,15854000.0
Petersburg NB,2024,191623.0,13484000.0,148.0,5812000.0,10851000.0,18511000.0
Petrified Forest NP,2024,559254.0,43357000.0,396.0,15975000.0,28992000.0,48958000.0
