"park_name","park_type","state","region","unit_code","entrance_fee","fee_type","per_person_fee","fee_tier","total_visits_8yr","avg_annual_visits","visits_2024","traffic_tier","total_visitor_spending_8yr","avg_visitor_spending_8yr","total_economic_output_8yr","avg_economic_output_8yr","avg_jobs_supported_8yr","avg_labor_income_8yr","spending_per_visit","pricing_diagnosis","is_2026_surcharge_park","is_fee_eligible","exclusion_reason","cluster_tier","projected_fee_revenue_5_usd"
"Mammoth Cave NP","National Park","KY","Southeast","MACA",NULL,NULL,NULL,"Free","4543454","567932","747042","Moderate (100K-1M/yr)","411624500","51453063","574692600","71836575","681","25393200","89.92","Aligned",0,1,NULL,NULL,"0"
"Fort Sumter and Fort Moultrie NHP","National Historical Park","SC","Southeast","FOSU","10","per-person","10","Mid ($10-19)","4530492","566312","384308","Moderate (100K-1M/yr)","278951000","34868875","355634000","44454250","457","14976913","63.01","Aligned",0,1,NULL,NULL,"0"
"Biscayne NP","National Park","FL","Southeast","BISC",NULL,NULL,NULL,"Free","4517639","564705","512213","Moderate (100K-1M/yr)","314275700","39284463","446639600","55829950","492","19627563","69.21","Aligned",0,1,NULL,NULL,"0"
"Petrified Forest NP","National Park","AZ","Intermountain","PEFO","15","per-person","15","Mid ($10-19)","4476038","559505","559254","Moderate (100K-1M/yr)","309566100","38695763","347364800","43420600","466","13860600","69.35","Aligned",0,1,NULL,NULL,"0"
"Manassas NBP","National Battlefield Park","VA","National Capital","MANA",NULL,NULL,NULL,"Free","4372245","546531","541965","Moderate (100K-1M/yr)","275202000","34400250","389530400","48691300","417","18470113","63.01","Aligned",0,1,NULL,NULL,"0"
"Martin Luther King, Jr. NHP","National Historical Park","GA","Southeast","MALU",NULL,NULL,NULL,"Free","4097406","512176","1159438","Moderate (100K-1M/yr)","260154300","32519288","397516000","49689500","450","17211363","63.01","Aligned",0,1,NULL,NULL,"0"
"Mesa Verde NP","National Park","CO","Intermountain","MEVE","15","per-person","15","Mid ($10-19)","4054414","506802","480065","Moderate (100K-1M/yr)","449421400","56177675","561412300","70176538","740","21607488","111.03","Aligned",0,1,NULL,NULL,"0"
"Great Sand Dunes NP & PRES","National Park","CO","Intermountain","GRSA","15","per-person","15","Mid ($10-19)","3964839","495605","437661","Moderate (100K-1M/yr)","257244600","32155575","301085200","37635650","408","11759475","64.77","Aligned",0,1,NULL,NULL,"0"
"Cape Lookout NS","National Seashore","NC","Southeast","CALO",NULL,NULL,NULL,"Free","3938388","492299","552786","Moderate (100K-1M/yr)","191721100","23965138","210471000","26308875","311","8387938","48.58","Aligned",0,1,NULL,NULL,"0"
"Devils Tower NM","National Monument","WY","Intermountain","DETO","15","per-person","15","Mid ($10-19)","3925549","490694","540890","Moderate (100K-1M/yr)","271800000","33975000","347665900","43458238","440","13433413","68.97","Aligned",0,1,NULL,NULL,"0"
"Big Bend NP","National Park","TX","Intermountain","BIBE","15","per-person","15","Mid ($10-19)","3904020","488003","561458","Moderate (100K-1M/yr)","357473300","44684163","405829000","50728625","602","15592938","91.06","Aligned",0,1,NULL,NULL,"0"
"Glacier Bay NP & PRES","National Park","AK","Alaska","GLBA",NULL,NULL,NULL,"Free","3898274","487284","736282","Moderate (100K-1M/yr)","1467236700","183404588","2396618300","299577288","2213","95902238","376.14","Aligned",0,1,NULL,NULL,"0"
"Lassen Volcanic NP","National Park","CA","Pacific West","LAVO","15","per-person","15","Mid ($10-19)","3648559","456070","357651","Moderate (100K-1M/yr)","255180800","31897600","299415700","37426963","402","13067813","71.48","Aligned",0,1,NULL,NULL,"0"
"Redwood NP","National Park","CA","Pacific West","REDW",NULL,NULL,NULL,"Free","3623702","452963","622883","Moderate (100K-1M/yr)","250185700","31273213","307980900","38497613","403","13445738","68.61","Aligned",0,1,NULL,NULL,"0"
"World War I MEM","National Memorial","DC","National Capital","WWIM",NULL,NULL,NULL,"Free","3598847","449856","1084897","Moderate (100K-1M/yr)","78554000","19638500","105988000","26497000","200","10366000","21.70","Aligned",0,0,"Memorial: practice and political precedent (no NPS memorial currently charges)",NULL,"0"
"Colorado NM","National Monument","CO","Intermountain","COLM","15","per-person","15","Mid ($10-19)","3537659","442207","488038","Moderate (100K-1M/yr)","241015900","30126988","296911600","37113950","387","11649338","67.63","Aligned",0,1,NULL,NULL,"0"
"Denali NP & PRES","National Park","AK","Alaska","DENA","15","per-person","15","Mid ($10-19)","3515503","439438","466227","Moderate (100K-1M/yr)","3806766400","475845800","5556790000","694598750","5923","236745600","1090.66","Aligned",0,1,NULL,NULL,"0"
"San Juan Island NHP","National Historical Park","WA","Pacific West","SAJH",NULL,NULL,NULL,"Free","3443388","430424","405925","Moderate (100K-1M/yr)","220295300","27536913","286652300","35831538","279","13219813","63.01","Aligned",0,1,NULL,NULL,"0"
"Vicksburg NMP","National Military Park","MS","Southeast","VICK","10","per-person","10","Mid ($10-19)","3250903","406363","403332","Moderate (100K-1M/yr)","203993700","25499213","273046600","34130825","383","10385550","63.01","Aligned",0,1,NULL,NULL,"0"
"Fort Pulaski NM","National Monument","GA","Southeast","FOPU","10","per-person","10","Mid ($10-19)","3208378","401047","356993","Moderate (100K-1M/yr)","223159100","27894888","278688300","34836038","346","11583813","69.38","Aligned",0,1,NULL,NULL,"0"
"Carlsbad Caverns NP","National Park","NM","Intermountain","CAVE","15","per-person","15","Mid ($10-19)","3205235","400654","460474","Moderate (100K-1M/yr)","222213000","27776625","245251000","30656375","346","9732488","69.37","Aligned",0,1,NULL,NULL,"0"
"Wright Brothers NMEM","National Memorial","NC","Southeast","WRBR","10","per-person","10","Mid ($10-19)","3202674","400334","406593","Moderate (100K-1M/yr)","202678800","25334850","266083000","33260375","362","10569475","63.01","Aligned",0,0,"Memorial: practice and political precedent (no NPS memorial currently charges)",NULL,"0"
"Fort Washington Park","Park (Other)","MD","National Capital","FOWA",NULL,NULL,NULL,"Free","3200105","400013","491013","Moderate (100K-1M/yr)","204488900","25561113","290378900","36297363","304","13775213","63.01","Aligned",0,1,NULL,NULL,"0"
"Ford's Theatre NHS","National Historic Site","DC","National Capital","FOTH",NULL,NULL,NULL,"Free","3177195","397149","457132","Moderate (100K-1M/yr)","63998000","7999750","93421300","11677663","99","4353575","20.39","Aligned",0,1,NULL,NULL,"0"
"Catoctin Mountain Park","Park (Other)","MD","National Capital","CATO",NULL,NULL,NULL,"Free","3156766","394596","380681","Moderate (100K-1M/yr)","163058100","20382263","219982900","27497863","243","10508663","51.93","Aligned",0,1,NULL,NULL,"0"
"Shiloh NMP","National Military Park","TN","Southeast","SHIL",NULL,NULL,NULL,"Free","3076033","384504","386152","Moderate (100K-1M/yr)","193580600","24197575","227103600","28387950","341","8745925","63.01","Aligned",0,1,NULL,NULL,"0"
"Canyon de Chelly NM","National Monument","AZ","Intermountain","CACH",NULL,NULL,NULL,"Free","3062420","382803","387433","Moderate (100K-1M/yr)","252171900","31521488","299787500","37473438","420","10680288","84.50","Aligned",0,1,NULL,NULL,"0"
"War in the Pacific NHP","National Historical Park","GU","Pacific West","WAPA",NULL,NULL,NULL,"Free","3060625","382578","373974","Moderate (100K-1M/yr)","192871600","24108950","248697200","31087150","255","11167575","63.01","Aligned",0,1,NULL,NULL,"0"
"Dwight D. Eisenhower MEM","National Memorial","DC","National Capital","DDEM",NULL,NULL,NULL,"Free","2972639","371580","731476","Moderate (100K-1M/yr)","64155000","12831000","96328000","19265600","151","7171000","21.25","Aligned",0,0,"Memorial: practice and political precedent (no NPS memorial currently charges)",NULL,"0"
"Montezuma Castle NM","National Monument","AZ","Intermountain","MOCA","10","per-person","10","Mid ($10-19)","2935974","366997","379967","Moderate (100K-1M/yr)","185276100","23159513","276034900","34504363","313","12158288","63.01","Aligned",0,1,NULL,NULL,"0"
"Flight 93 NMEM","National Memorial","PA","Northeast","FLNI",NULL,NULL,NULL,"Free","2899279","362410","349566","Moderate (100K-1M/yr)","182842900","22855363","260897200","32612150","331","11687775","63.01","Aligned",0,0,"Memorial: practice and political precedent (no NPS memorial currently charges)",NULL,"0"
"Pu'uhonua o Honaunau NHP","National Historical Park","HI","Pacific West","PUHO","10","per-person","10","Mid ($10-19)","2872094","359012","454268","Moderate (100K-1M/yr)","180478700","22559838","232659700","29082463","239","10433325","63.01","Aligned",0,1,NULL,NULL,"0"
"Fort McHenry NM & HS","National Monument","MD","Northeast","FOMC","15","per-person","15","Mid ($10-19)","2858917","357365","394175","Moderate (100K-1M/yr)","178369800","22296225","253991200","31748900","278","11954600","63.01","Aligned",0,1,NULL,NULL,"0"
"Wolf Trap NP for the Performing Arts","Park (Other)","VA","National Capital","WOTR",NULL,NULL,NULL,"Free","2852787","356598","447863","Moderate (100K-1M/yr)","181414400","22676800","260288100","32536013","277","12256638","63.01","Aligned",0,1,NULL,NULL,"0"
"White House","Park (Other)","DC","National Capital","WHHO",NULL,NULL,NULL,"Free","2815615","351952","517030","Moderate (100K-1M/yr)","57547500","7193438","84224600","10528075","87","3920238","20.39","Aligned",0,1,NULL,NULL,"0"
"Harpers Ferry NHP","National Historical Park","WV","National Capital","HAFE","10","per-person","10","Mid ($10-19)","2774597","346825","488049","Moderate (100K-1M/yr)","148655700","18581963","226528600","28316075","244","10728625","52.87","Aligned",0,1,NULL,NULL,"0"
"Jean Lafitte NHP & PRES","National Historical Park","LA","Southeast","JELA",NULL,NULL,NULL,"Free","2747915","343489","212591","Moderate (100K-1M/yr)","169585300","21198163","226986700","28373338","296","9380038","63.01","Aligned",0,1,NULL,NULL,"0"
"Boston African American NHS","National Historic Site","MA","Northeast","BOAF",NULL,NULL,NULL,"Free","2746497","343312","393386","Moderate (100K-1M/yr)","173378300","21672288","254985500","31873188","269","12457525","63.01","Aligned",0,1,NULL,NULL,"0"
"Salem Maritime NHP","National Historical Park","MA","Northeast","SAMA",NULL,NULL,NULL,"Free","2746319","343290","488831","Moderate (100K-1M/yr)","175409800","21926225","259048900","32381113","266","12755563","63.01","Aligned",0,1,NULL,NULL,"0"
"Kenai Fjords NP","National Park","AK","Alaska","KEFJ",NULL,NULL,NULL,"Free","2706395","338299","419468","Moderate (100K-1M/yr)","524533200","65566650","774639300","96829913","1092","37751838","191.79","Aligned",0,1,NULL,NULL,"0"
"Black Canyon of the Gunnison NP","National Park","CO","Intermountain","BLCA","15","per-person","15","Mid ($10-19)","2689641","336205","335862","Moderate (100K-1M/yr)","180478500","22559813","222403600","27800450","261","9636513","67.15","Aligned",0,1,NULL,NULL,"0"
"Stones River NB","National Battlefield","TN","Southeast","STRI",NULL,NULL,NULL,"Free","2651999","331500","446160","Moderate (100K-1M/yr)","145308100","18163513","205256100","25657013","231","9424375","55.38","Aligned",0,1,NULL,NULL,"0"
"Vanderbilt Mansion NHS","National Historic Site","NY","Northeast","VAMA","15","per-person","15","Mid ($10-19)","2648913","331114","406077","Moderate (100K-1M/yr)","141213400","17651675","187171900","23396488","209","8689063","53.80","Aligned",0,1,NULL,NULL,"0"
"Fire Island NS","National Seashore","NY","Northeast","FIIS",NULL,NULL,NULL,"Free","2625224","328153","303731","Moderate (100K-1M/yr)","123265900","15408238","159628700","19953588","154","8052938","47.25","Aligned",0,1,NULL,NULL,"0"
"Prince William Forest Park","Park (Other)","VA","National Capital","PRWI","10","per-person","10","Mid ($10-19)","2618755","327344","355196","Moderate (100K-1M/yr)","140441900","17555238","188507400","23563425","205","9056750","53.67","Aligned",0,1,NULL,NULL,"0"
"Channel Islands NP","National Park","CA","Pacific West","CHIS",NULL,NULL,NULL,"Free","2560681","320085","262581","Moderate (100K-1M/yr)","164486100","20560763","235034800","29379350","246","11420913","64.18","Aligned",0,1,NULL,NULL,"0"
"Dinosaur NM","National Monument","CO","Intermountain","DINO","15","per-person","15","Mid ($10-19)","2542658","317832","322113","Moderate (100K-1M/yr)","167802400","20975300","188568200","23571025","250","7592475","65.75","Aligned",0,1,NULL,NULL,"0"
"Mississippi NRRA","National River","MN","Midwest","MISS",NULL,NULL,NULL,"Free","2516320","314540","256133","Moderate (100K-1M/yr)","117996700","14749588","167199300","20899913","196","7234450","47.43","Aligned",0,1,NULL,NULL,"0"
"Guilford Courthouse NMP","National Military Park","NC","Southeast","GUCO",NULL,NULL,NULL,"Free","2461575","307697","461143","Moderate (100K-1M/yr)","157379000","19672375","224726300","28090788","281","9546963","63.01","Aligned",0,1,NULL,NULL,"0"
"Nez Perce NHP","National Historical Park","ID","Pacific West","NEPE",NULL,NULL,NULL,"Free","2437608","304701","342924","Moderate (100K-1M/yr)","154993500","19374188","195864400","24483050","242","7823975","63.01","Aligned",0,1,NULL,NULL,"0"
"Petroglyph NM","National Monument","NM","Intermountain","PETR",NULL,NULL,NULL,"Free","2433532","304192","354534","Moderate (100K-1M/yr)","148948400","18618550","200250600","25031325","255","8081850","60.47","Aligned",0,1,NULL,NULL,"0"
"Lowell NHP","National Historical Park","MA","Northeast","LOWE",NULL,NULL,NULL,"Free","2385028","298129","264456","Moderate (100K-1M/yr)","146819100","18352388","213217700","26652213","233","10345838","63.01","Aligned",0,1,NULL,NULL,"0"
"Fort Caroline NMEM","National Memorial","FL","Southeast","FOCA",NULL,NULL,NULL,"Free","2276939","284617","260350","Moderate (100K-1M/yr)","144197100","18024638","206387500","25798438","257","8592188","63.01","Aligned",0,0,"Memorial: practice and political precedent (no NPS memorial currently charges)",NULL,"0"
"Governors Island NM","National Monument","NY","Northeast","GOIS",NULL,NULL,NULL,"Free","2246717","280840","63086","Moderate (100K-1M/yr)","134324700","16790588","187461200","23432650","193","9430463","63.01","Aligned",0,1,NULL,NULL,"0"
"Upper Delaware S&RR","National Wild & Scenic River","PA","Northeast","UPDE",NULL,NULL,NULL,"Free","2185093","273137","377061","Moderate (100K-1M/yr)","104829600","13103700","128928300","16116038","125","6505688","47.43","Aligned",0,1,NULL,NULL,"0"
"Wilson's Creek NB","National Battlefield","MO","Midwest","WICR",NULL,NULL,NULL,"Free","2175454","271932","357805","Moderate (100K-1M/yr)","138595600","17324450","182915900","22864488","251","7361800","63.01","Aligned",0,1,NULL,NULL,"0"
"Craters of the Moon NM & PRES","National Monument","ID","Pacific West","CRMO","10","per-person","10","Mid ($10-19)","2152148","269019","314118","Moderate (100K-1M/yr)","80640100","10080013","93508100","11688513","133","3664250","37.43","Aligned",0,1,NULL,NULL,"0"
"Fort Necessity NB","National Battlefield","PA","Northeast","FONE",NULL,NULL,NULL,"Free","2145287","268161","276173","Moderate (100K-1M/yr)","134946500","16868313","198546900","24818363","247","8846150","62.99","Aligned",0,1,NULL,NULL,"0"
"Paterson Great Falls NHP","National Historical Park","NJ","Northeast","PAGR",NULL,NULL,NULL,"Free","2119973","264997","210741","Moderate (100K-1M/yr)","133244900","16655613","181838100","22729763","194","9322388","63.01","Aligned",0,1,NULL,NULL,"0"
"Lewis & Clark NHP","National Historical Park","OR","Pacific West","LEWI","10","per-person","10","Mid ($10-19)","2117939","264742","267118","Moderate (100K-1M/yr)","133661200","16707650","191661800","23957725","219","8555513","63.01","Aligned",0,1,NULL,NULL,"0"
"Pinnacles NP","National Park","CA","Pacific West","PINN","15","per-person","15","Mid ($10-19)","2117626","264703","354076","Moderate (100K-1M/yr)","139633600","17454200","164941300","20617663","167","8731125","64.71","Aligned",0,1,NULL,NULL,"0"
"Morristown NHP","National Historical Park","NJ","Northeast","MORR",NULL,NULL,NULL,"Free","2106928","263366","208138","Moderate (100K-1M/yr)","100523400","12565425","140019000","17502375","142","7068738","45.82","Aligned",0,1,NULL,NULL,"0"
"Big Thicket NPRES","National Preserve","TX","Intermountain","BITH",NULL,NULL,NULL,"Free","2059381","257423","271823","Moderate (100K-1M/yr)","239692600","29961575","191208500","23901063","222","8587100","139.76","Aligned",0,1,NULL,NULL,"0"
"Fort Raleigh NHS","National Historic Site","NC","Southeast","FORA",NULL,NULL,NULL,"Free","2057288","257161","274783","Moderate (100K-1M/yr)","130187600","16273450","169131500","21141438","231","6734563","63.01","Aligned",0,1,NULL,NULL,"0"
"River Raisin NBP","National Battlefield Park","MI","Midwest","RIRA",NULL,NULL,NULL,"Free","2014514","251814","240556","Moderate (100K-1M/yr)","126880800","15860100","182396700","22799588","213","8003638","63.01","Aligned",0,1,NULL,NULL,"0"
"Virgin Islands NP","National Park","VI","Southeast","VIIS",NULL,NULL,NULL,"Free","2005098","250637","423029","Moderate (100K-1M/yr)","314012900","39251613","441592100","55199013","432","18939700","153.19","Aligned",0,1,NULL,NULL,"0"
"Abraham Lincoln Birthplace NHP","National Historical Park","KY","Southeast","ABLI",NULL,NULL,NULL,"Free","2002922","250365","249166","Moderate (100K-1M/yr)","126162800","15770350","176386000","22048250","230","7404263","63.01","Aligned",0,1,NULL,NULL,"0"
"Kings Mountain NMP","National Military Park","SC","Southeast","KIMO",NULL,NULL,NULL,"Free","1997036","249630","182463","Moderate (100K-1M/yr)","85442900","10680363","119466500","14933313","149","5240975","43.14","Aligned",0,1,NULL,NULL,"0"
"Obed W&SR","National Wild & Scenic River","TN","Southeast","OBRI",NULL,NULL,NULL,"Free","1986455","248307","261732","Moderate (100K-1M/yr)","39627800","4953475","39984400","4998050","53","1773388","19.80","Aligned",0,1,NULL,NULL,"0"
"Kaloko Honokohau NHP","National Historical Park","HI","Pacific West","KAHO",NULL,NULL,NULL,"Free","1979487","247436","351422","Moderate (100K-1M/yr)","126651900","15831488","163171100","20396388","164","7301113","63.01","Aligned",0,1,NULL,NULL,"0"
"LBJ Memorial Grove on the Potomac","National Memorial","DC","National Capital","LYBA",NULL,NULL,NULL,"Free","1971004","246376","241358","Moderate (100K-1M/yr)","124048100","15506013","176746800","22093350","190","8365800","63.01","Aligned",0,0,"Memorial: practice and political precedent (no NPS memorial currently charges)",NULL,"0"
"Apostle Islands NL","National Lakeshore","WI","Midwest","APIS",NULL,NULL,NULL,"Free","1962746","245343","253703","Moderate (100K-1M/yr)","336294400","42036800","410486200","51310775","562","15968363","170.69","Aligned",0,1,NULL,NULL,"0"
"Arlington House The R.E. Lee MEM","National Memorial","VA","National Capital","ARHO",NULL,NULL,NULL,"Free","1953892","244237","447641","Moderate (100K-1M/yr)","124571400","15571425","176851900","22106488","185","8280100","64.11","Aligned",0,0,"Memorial: practice and political precedent (no NPS memorial currently charges)",NULL,"0"
"Piscataway Park","Park (Other)","MD","National Capital","PISC",NULL,NULL,NULL,"Free","1936105","242013","334260","Moderate (100K-1M/yr)","123735400","15466925","175258600","21907325","183","8304625","63.01","Aligned",0,1,NULL,NULL,"0"
"Voyageurs NP","National Park","MN","Midwest","VOYA",NULL,NULL,NULL,"Free","1857302","232163","199030","Moderate (100K-1M/yr)","160871200","20108900","198808700","24851088","274","7798513","87.00","Aligned",0,1,NULL,NULL,"0"
"Bighorn Canyon NRA","National Recreation Area","MT","Intermountain","BICA",NULL,NULL,NULL,"Free","1804071","225509","219815","Moderate (100K-1M/yr)","84935100","10616888","103026300","12878288","143","4301700","47.18","Aligned",0,1,NULL,NULL,"0"
"Fort Donelson NB","National Battlefield","TN","Southeast","FODO",NULL,NULL,NULL,"Free","1722241","215280","166026","Moderate (100K-1M/yr)","103854200","12981775","132502100","16562763","158","6035750","58.73","Aligned",0,1,NULL,NULL,"0"
"Organ Pipe Cactus NM","National Monument","AZ","Intermountain","ORPI","15","per-person","15","Mid ($10-19)","1668985","208623","182612","Moderate (100K-1M/yr)","117979500","14747438","170972800","21371600","189","7412875","71.98","Aligned",0,1,NULL,NULL,"0"
"Guadalupe Mountains NP","National Park","TX","Intermountain","GUMO","10","per-person","10","Mid ($10-19)","1654445","206806","226134","Moderate (100K-1M/yr)","144666200","18083275","171827400","21478425","220","6896825","85.46","Aligned",0,1,NULL,NULL,"0"
"Fort Frederica NM","National Monument","GA","Southeast","FOFR",NULL,NULL,NULL,"Free","1654020","206753","243027","Moderate (100K-1M/yr)","106780700","13347588","144536600","18067075","183","6099025","64.01","Aligned",0,1,NULL,NULL,"0"
"Cowpens NB","National Battlefield","SC","Southeast","COWP",NULL,NULL,NULL,"Free","1652419","206552","156287","Moderate (100K-1M/yr)","114217400","14277175","161545700","20193213","196","6954925","69.37","Aligned",0,1,NULL,NULL,"0"
"Antietam NB","National Battlefield","MD","National Capital","ANTI","10","per-person","10","Mid ($10-19)","1642995","205374","197340","Moderate (100K-1M/yr)","101427500","12678438","143527300","17940913","159","6777450","62.99","Aligned",0,1,NULL,NULL,"0"
"Little Bighorn Battlefield NM","National Monument","MT","Intermountain","LIBI","15","per-person","15","Mid ($10-19)","1626333","203292","111825","Moderate (100K-1M/yr)","101186700","12648338","133389100","16673638","189","5671063","63.01","Aligned",0,1,NULL,NULL,"0"
"Wupatki NM","National Monument","AZ","Intermountain","WUPA","15","per-person","15","Mid ($10-19)","1612510","201564","220205","Moderate (100K-1M/yr)","112096100","14012013","128524500","16065563","170","5319613","69.38","Aligned",0,1,NULL,NULL,"0"
"De Soto NMEM","National Memorial","FL","Southeast","DESO",NULL,NULL,NULL,"Free","1610779","201347","155016","Moderate (100K-1M/yr)","101074700","12634338","148303300","18537913","180","6288213","63.01","Aligned",0,0,"Memorial: practice and political precedent (no NPS memorial currently charges)",NULL,"0"
"Bandelier NM","National Monument","NM","Intermountain","BAND","15","per-person","15","Mid ($10-19)","1598024","199753","213595","Moderate (100K-1M/yr)","108283300","13535413","139901600","17487700","180","5582150","67.41","Aligned",0,1,NULL,NULL,"0"
"Petersburg NB","National Battlefield","VA","Northeast","PETE",NULL,NULL,NULL,"Free","1558195","194774","191623","Moderate (100K-1M/yr)","97954100","12244263","138251900","17281488","177","5625913","63.01","Aligned",0,1,NULL,NULL,"0"
"Congaree NP","National Park","SC","Southeast","CONG",NULL,NULL,NULL,"Free","1496141","187018","242049","Moderate (100K-1M/yr)","83233500","10404188","99335200","12416900","120","3929213","54.73","Aligned",0,1,NULL,NULL,"0"
"Allegheny Portage Railroad NHS","National Historic Site","PA","Northeast","ALPO",NULL,NULL,NULL,"Free","1473680","184210","193903","Moderate (100K-1M/yr)","92983700","11622963","132245500","16530688","168","5932250","63.01","Aligned",0,1,NULL,NULL,"0"
"Sitka NHP","National Historical Park","AK","Alaska","SITK",NULL,NULL,NULL,"Free","1462953","182869","309327","Moderate (100K-1M/yr)","280007300","35000913","409381500","51172688","576","19725538","189.30","Aligned",0,1,NULL,NULL,"0"
"Richmond NBP","National Battlefield Park","VA","Northeast","RICH",NULL,NULL,NULL,"Free","1451313","181414","156538","Moderate (100K-1M/yr)","90762800","11345350","125894600","15736825","163","5121663","63.01","Aligned",0,1,NULL,NULL,"0"
"Scotts Bluff NM","National Monument","NE","Midwest","SCBL",NULL,NULL,NULL,"Free","1369355","171169","183915","Moderate (100K-1M/yr)","86658400","10832300","100854300","12606788","144","3982313","63.01","Aligned",0,1,NULL,NULL,"0"
"Walnut Canyon NM","National Monument","AZ","Intermountain","WACA","15","per-person","15","Mid ($10-19)","1324102","165513","187205","Moderate (100K-1M/yr)","83900400","10487550","96481400","12060175","132","4023000","63.01","Aligned",0,1,NULL,NULL,"0"
"John Day Fossil Beds NM","National Monument","OR","Pacific West","JODA",NULL,NULL,NULL,"Free","1309862","163733","122529","Moderate (100K-1M/yr)","69949800","8743725","84576500","10572063","110","3660713","54.46","Aligned",0,1,NULL,NULL,"0"
"Theodore Roosevelt Island","National Memorial","VA","National Capital","THIS",NULL,NULL,NULL,"Free","1293744","161718","174954","Moderate (100K-1M/yr)","81691400","10211425","116469600","14558700","125","5508275","63.01","Aligned",0,1,NULL,NULL,"0"
"El Malpais NM","National Monument","NM","Intermountain","ELMA",NULL,NULL,NULL,"Free","1289424","161178","163679","Moderate (100K-1M/yr)","81438100","10179763","107800400","13475050","146","4237700","63.01","Aligned",0,1,NULL,NULL,"0"
"Gauley River NRA","National Recreation Area","WV","Northeast","GARI",NULL,NULL,NULL,"Free","1236596","154575","272898","Moderate (100K-1M/yr)","59223300","7402913","67379600","8422450","93","2794250","46.96","Aligned",0,1,NULL,NULL,"0"
"Lincoln Home NHS","National Historic Site","IL","Midwest","LIHO",NULL,NULL,NULL,"Free","1204092","150512","154522","Moderate (100K-1M/yr)","78210300","9776288","99582700","12447838","134","3807200","65.41","Aligned",0,1,NULL,NULL,"0"
"Great Basin NP","National Park","NV","Pacific West","GRBA",NULL,NULL,NULL,"Free","1155495","144437","152068","Moderate (100K-1M/yr)","83806100","10475763","98188200","12273525","130","3863750","72.29","Aligned",0,1,NULL,NULL,"0"
"Johnstown Flood NMEM","National Memorial","PA","Northeast","JOFL",NULL,NULL,NULL,"Free","1140634","142579","95842","Moderate (100K-1M/yr)","75633400","9454175","112436700","14054588","145","4998925","66.70","Aligned",0,0,"Memorial: practice and political precedent (no NPS memorial currently charges)",NULL,"0"
"Ocmulgee Mounds NHP","National Historical Park","GA","Southeast","OCMU",NULL,NULL,NULL,"Free","1105038","138130","141905","Moderate (100K-1M/yr)","69976900","8747113","86624500","10828063","131","3206625","63.01","Aligned",0,1,NULL,NULL,"0"
"Coronado NMEM","National Memorial","AZ","Intermountain","CORO",NULL,NULL,NULL,"Free","1086991","135874","164426","Moderate (100K-1M/yr)","68802900","8600363","88557400","11069675","117","3625950","63.01","Aligned",0,0,"Memorial: practice and political precedent (no NPS memorial currently charges)",NULL,"0"
"Palo Alto Battlefield NHP","National Historical Park","TX","Intermountain","PAAL",NULL,NULL,NULL,"Free","1078942","134868","178946","Moderate (100K-1M/yr)","69148200","8643525","89157200","11144650","126","3523175","63.01","Aligned",0,1,NULL,NULL,"0"
"Missouri NRR","National Wild & Scenic River","SD","Midwest","MNRR",NULL,NULL,NULL,"Free","1033041","129130","153521","Moderate (100K-1M/yr)","49207400","6150925","58895600","7361950","80","2430475","47.43","Aligned",0,1,NULL,NULL,"0"
"Federal Hall NMEM","National Memorial","NY","Northeast","FEHA",NULL,NULL,NULL,"Free","1019678","127460","63314","Moderate (100K-1M/yr)","60565800","7570725","84292800","10536600","86","4293888","61.56","Aligned",0,0,"Memorial: practice and political precedent (no NPS memorial currently charges)",NULL,"0"
"Washington Monument","National Memorial","DC","National Capital","WAMO",NULL,NULL,NULL,"Free","1012110","126514","247208","Moderate (100K-1M/yr)","21634000","2704250","32254000","4031750","32","1500500","20.92","Aligned",0,1,NULL,NULL,"0"
"Monocacy NB","National Battlefield","MD","National Capital","MONO",NULL,NULL,NULL,"Free","1011835","126479","116520","Moderate (100K-1M/yr)","43045600","5380700","54303600","6787950","69","2344375","43.13","Aligned",0,1,NULL,NULL,"0"
"Lincoln Boyhood NMEM","National Memorial","IN","Midwest","LIBO",NULL,NULL,NULL,"Free","1005956","125745","129904","Moderate (100K-1M/yr)","51357700","6419713","71599300","8949913","96","3019050","51.19","Aligned",0,0,"Memorial: practice and political precedent (no NPS memorial currently charges)",NULL,"0"
"Minuteman Missile NHS","National Historic Site","SD","Midwest","MIMI",NULL,NULL,NULL,"Free","987605","123451","118108","Moderate (100K-1M/yr)","78960700","9870088","100800100","12600013","134","3989275","80.21","Aligned",0,1,NULL,NULL,"0"
"George Rogers Clark NHP","National Historical Park","IN","Midwest","GERO",NULL,NULL,NULL,"Free","986228","123279","166621","Moderate (100K-1M/yr)","62728600","7841075","78158700","9769838","108","3000663","63.01","Aligned",0,1,NULL,NULL,"0"
"Lava Beds NM","National Monument","CA","Pacific West","LABE","15","per-person","15","Mid ($10-19)","982587","122823","127563","Moderate (100K-1M/yr)","45419300","5677413","49193500","6149188","65","2153488","46.18","Aligned",0,1,NULL,NULL,"0"
"Devils Postpile NM","National Monument","CA","Pacific West","DEPO","15","per-person","15","Mid ($10-19)","975936","121992","94215","Moderate (100K-1M/yr)","67401400","8425175","81285200","10160650","102","3639225","69.38","Aligned",0,1,NULL,NULL,"0"
